                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6652,                 4.9333,                 3.5286,                0.00033,                0.00152,                 0.0001,                  2e-05,                 4.5262,                    inf,                 6.7351,             0.00065152,             0.00065152,             0.00065152
                      2,                 3.1679,                 2.2758,                 1.9162,                0.00169,                0.01486,                0.00086,                0.00036,                 4.0653,                    inf,                 3.6849,              0.0013156,              0.0013156,              0.0013156
                      3,                 2.9269,                  2.112,                 1.6994,                0.00014,                0.00038,                  2e-05,                  1e-05,                 4.4893,                    inf,                 26.386,               0.001977,               0.001977,               0.001977
                      4,                 2.8304,                  2.054,                 1.5883,                0.00117,                0.01029,                0.00059,                0.00023,                 4.3699,                 7.7732,                 4.7374,              0.0019881,              0.0019881,              0.0019881
                      5,                 2.7735,                  1.964,                  1.547,                0.39811,                0.25989,                0.21933,                0.07348,                 2.5062,                 2.5118,                 1.4027,              0.0019881,              0.0019881,              0.0019881
                      6,                 2.7666,                 1.9804,                 1.4956,                0.33623,                0.28239,                0.21923,                 0.0798,                 2.5004,                 2.0691,                 1.4225,              0.0019842,              0.0019842,              0.0019842
                      7,                 2.7523,                 1.9015,                 1.4571,                0.34525,                0.26258,                0.17042,                0.05733,                 2.4617,                 2.6196,                  1.441,              0.0019802,              0.0019802,              0.0019802
                      8,                 2.6942,                  1.907,                 1.4596,                0.40571,                0.31669,                0.23621,                0.08096,                 2.4394,                  1.709,                 1.3772,              0.0019762,              0.0019762,              0.0019762
                      9,                  2.667,                 1.8418,                 1.4109,                0.41113,                0.31021,                0.28077,                0.09609,                 2.4699,                 1.5417,                 1.4041,              0.0019723,              0.0019723,              0.0019723
                     10,                 2.6791,                 1.8438,                  1.399,                0.46734,                0.32088,                0.28253,                0.09231,                 2.4136,                 1.5518,                  1.372,              0.0019683,              0.0019683,              0.0019683
                     11,                 2.6601,                 1.8088,                 1.4034,                0.44532,                0.31055,                0.26554,                 0.0918,                 2.4081,                 1.8889,                 1.3643,              0.0019644,              0.0019644,              0.0019644
                     12,                 2.5943,                 1.7893,                 1.3776,                 0.4458,                0.31898,                0.29889,                0.10084,                 2.3874,                 1.5896,                 1.3372,              0.0019604,              0.0019604,              0.0019604
                     13,                 2.5977,                 1.7715,                 1.3752,                0.33396,                0.32203,                0.17865,                0.06044,                 2.4357,                 5.2077,                  1.348,              0.0019564,              0.0019564,              0.0019564
                     14,                 2.6211,                 1.8268,                  1.384,                0.25977,                0.32736,                0.14079,                0.04858,                 2.4676,                 13.229,                 1.3204,              0.0019525,              0.0019525,              0.0019525
                     15,                 2.5933,                  1.778,                 1.3533,                0.45663,                0.33051,                0.30927,                0.10814,                  2.395,                 1.5367,                   1.33,              0.0019485,              0.0019485,              0.0019485
                     16,                 2.6046,                 1.7769,                 1.3612,                0.42126,                0.35213,                 0.2904,                0.10071,                 2.3724,                 1.5998,                 1.3048,              0.0019446,              0.0019446,              0.0019446
                     17,                 2.5652,                 1.7521,                 1.3588,                0.44097,                0.33308,                0.27015,                0.09186,                 2.3865,                 1.7702,                 1.3375,              0.0019406,              0.0019406,              0.0019406
                     18,                 2.6056,                 1.8024,                 1.3337,                0.50166,                0.34337,                0.32046,                0.11183,                 2.3777,                 1.6267,                  1.318,              0.0019366,              0.0019366,              0.0019366
                     19,                 2.5764,                 1.7635,                 1.3393,                0.51838,                0.33308,                0.33179,                0.11673,                 2.3395,                 1.5893,                 1.2951,              0.0019327,              0.0019327,              0.0019327
